,index,Año_encuesta,Region,PIA,PIM,Certificacion,Compromiso_anual,Atencion_compromiso_mensual,Devengado,Girado,%_avance,indice_anemia
191,191,2019,PASCO,20765936,29707929,28652978,28000429,27746260,27729472,27727392,93.3,0.502219398
192,192,2019,PIURA,88703371,107948259,106931788,105866281,105549141,105468848,105464760,97.7,0.43774431
193,193,2019,PUNO,90658810,113220183,111628120,111407142,110854077,110467090,110307505,97.6,0.699143123
194,194,2019,SAN MARTIN,41634086,61711077,54843715,53944602,53512674,53452152,53447708,86.6,0.442799169
195,195,2019,TACNA,31383139,35509503,34570204,34549014,34545251,34534604,34530224,97.3,0.327011345
196,196,2019,TUMBES,17698939,23003959,21908881,21748845,21507979,21507979,21492241,93.5,0.444347667
197,197,2019,UCAYALI,47202340,62130625,61045667,60876904,60494000,60377569,60353287,97.2,0.537230945
198,198,2019,LIMA,55916213,75561415,72430566,72329261,72000517,71935215,71930254,95.2,0.396454313
199,199,2019,CALLAO,28797109,38989306,34656220,33746063,33619314,33601617,33528399,86.2,0.353062762
200,200,2020,AMAZONAS,92413061,87383872,85689222,85596169,85534234,85521620,85510606,97.9,0.32138716
201,201,2020,ANCASH,62674643,74565782,72905293,70256535,70256535,70235984,70235837,94.2,0.356228593
202,202,2020,APURIMAC,61841448,69994334,68821174,68587005,68579479,68572020,68512428,98.0,0.519964958
203,203,2020,AREQUIPA,42988946,59899395,58466330,58325027,58325027,58323048,58316457,97.4,0.469670526
204,204,2020,AYACUCHO,69658474,87504296,86247444,85857169,85857169,85800226,85790489,98.1,0.449746012
205,205,2020,CAJAMARCA,100847938,123556545,122288178,122151042,122146800,121777149,121764760,98.6,0.395366087
206,206,2020,CUSCO,64568916,73731141,72511517,72443970,72344215,72039407,72025739,97.7,0.496573189
207,207,2020,HUANCAVELICA,68400143,85725130,84243208,84143804,83351159,83276572,83265636,97.1,0.448408841
208,208,2020,HUANUCO,75055245,91005159,90030653,89961320,89817443,89801075,89792341,98.7,0.422302903
209,209,2020,ICA,33789482,41522889,41046999,41000499,40976809,40970039,40936796,98.7,0.339286871
210,210,2020,JUNIN,49714138,83815781,82494890,82225198,82216429,72261672,72259895,86.2,0.456241993
211,211,2020,LA LIBERTAD,79067468,99103981,96753509,94639921,92572374,92126113,92046738,93.0,0.385515472
212,212,2020,LAMBAYEQUE,37669575,42162600,41135709,40957202,40957202,40908590,40861645,97.0,0.375926589
213,213,2020,LORETO,40565835,65273112,63534572,63399812,63354987,63293311,63265447,97.0,0.479903048
214,214,2020,MADRE DE DIOS,6905181,12560931,11698468,11613454,11605786,11596068,11595350,92.3,0.586029642
215,215,2020,MOQUEGUA,14847040,17526123,16970841,16930224,16830489,16818501,16814870,96.0,0.321861288
216,216,2020,PASCO,20602790,24871063,23126399,23041903,23018520,22999650,22999649,92.5,0.489149174
217,217,2020,PIURA,113534405,137020066,135565935,135450750,135450750,135323707,135314646,98.8,0.426308566
218,218,2020,PUNO,90381177,102287097,100607220,100320770,99946624,99940702,99837407,97.7,0.687722201
219,219,2020,SAN MARTIN,45431659,49660603,48555611,48499030,48460893,48460179,48456456,97.6,0.465801354
220,220,2020,TACNA,34252921,32280763,31559028,31536412,31524027,31510993,31508882,97.6,0.257578163
221,221,2020,TUMBES,18496398,20696945,20155784,20146519,20142319,20142319,20141261,97.3,0.39115508
222,222,2020,UCAYALI,43186201,55491462,54695820,53905354,53150452,52953443,52928928,95.4,0.608029984
223,223,2020,LIMA,54506865,64386798,63480316,63431763,63354766,63328541,63325242,98.4,0.310492791
224,224,2020,CALLAO,23793046,30623937,28252557,28137098,27798441,27785389,27782866,90.7,0.301626645
225,225,2021,AMAZONAS,105352304,88810844,87970695,84938624,84930664,84878704,84871786,95.6,0.37653857
226,226,2021,ANCASH,54561622,61370801,61094294,61014293,61012293,61010811,61005305,99.4,0.408940188
227,227,2021,APURIMAC,66768978,67884376,67044916,66893265,66848539,66600856,66584443,98.1,0.510629719
228,228,2021,AREQUIPA,44396696,56335696,55844977,55710454,55710454,55701375,55689907,98.9,0.3843662
229,229,2021,AYACUCHO,72161944,86141932,83560565,83540145,83514715,83486945,83438418,96.9,0.498127433
230,230,2021,CAJAMARCA,100468439,125413644,124772847,124192525,123942884,123823254,123813359,98.7,0.328845556
231,231,2021,CUSCO,62573007,73433083,72581596,72418461,72298646,72226865,72220033,98.4,0.540527194
232,232,2021,HUANCAVELICA,110294788,100556139,99844116,98895670,97003510,96937867,96936352,96.4,0.574045603
233,233,2021,HUANUCO,100385299,101851174,100625767,100573139,100428788,100376530,100361312,98.6,0.403219119
234,234,2021,ICA,33966561,39861947,39521012,39497007,39477059,39474128,39471550,99.0,0.363270514
235,235,2021,JUNIN,58295443,81070926,80551287,80532907,78691660,78547874,78546678,96.9,0.455842741
236,236,2021,LA LIBERTAD,79930398,110649942,106871010,105977011,105606780,105604382,105562498,95.4,0.350889591
237,237,2021,LAMBAYEQUE,39505976,44252894,42929294,42875364,42875364,42844391,42839660,96.8,0.356684266
238,238,2021,LORETO,59220856,69555666,69197715,69144448,69013436,69011958,69001016,99.2,0.517136201
239,239,2021,MADRE DE DIOS,8659222,12785538,11815168,11674909,11673616,11672883,11671894,91.3,0.584432201
240,240,2021,MOQUEGUA,15555075,16366750,16021307,16000643,15984402,15984402,15977431,97.7,0.340320111
241,241,2021,PASCO,20953539,25099060,24136616,24091386,24060740,24047876,24036337,95.8,0.504914376
242,242,2021,PIURA,128928839,142982052,141636221,141235979,141235979,141176260,141173563,98.7,0.367203967
243,243,2021,PUNO,91139208,148638041,108573011,96811852,96786897,96782621,96765299,65.1,0.703506049
244,244,2021,SAN MARTIN,48873339,56091159,54772123,54444413,54321855,54321065,54312776,96.8,0.418510257
245,245,2021,TACNA,30194538,32958758,32353913,32346101,32063069,32056673,32051672,97.3,0.255737192
246,246,2021,TUMBES,20424505,23049815,22157973,22149503,22099345,22099231,22099231,95.9,0.397255565
247,247,2021,UCAYALI,47978777,66998863,66314825,65783293,62775118,62746164,62728157,93.7,0.608098475
248,248,2021,LIMA,57109868,58716483,57865144,57864324,57838784,57835424,57814006,98.5,0.376941118
249,249,2021,CALLAO,22434387,28295886,26459980,26270065,26091458,26091458,26086548,92.2,0.292642597
250,250,2012,PERU,1280629828,2493668785,1984664214,1924677623,1913786086,1907948082,1894418874,76.5,0.444534414
251,251,2013,PERU,1285412739,1940901045,1732230616,1725786655,1724384400,1721565560,1719980533,88.7,0.463962362
252,252,2014,PERU,1352516354,2091511963,1955226836,1945584441,1943757637,1937026461,1935686915,92.6,0.468469367
253,253,2015,PERU,1626886438,2242758721,2103452210,2083291931,2081788807,2074140786,2059428893,92.5,0.435092931
254,254,2016,PERU,1741554175,2163132185,2075411903,2052822875,2051052902,2048304328,2042994523,94.7,0.435916745
255,255,2017,PERU,1983149120,2361298702,2238671848,2200783909,2190350529,2186037081,2183382268,92.6,0.436093049
256,256,2018,PERU,1956698507,2707400259,2567494034,2507838157,2494110830,2485589192,2484802515,91.8,0.435450122
257,257,2019,PERU,2271993014,2845041000,2728427563,2636759398,2617364553,2610984833,2609737562,91.8,0.400622336
258,258,2020,PERU,2297918285,2592990261,2507893923,2474988942,2464481007,2449965222,2449141224,94.5,0.399684241
259,259,2021,PERU,2393960179,2904722185,2798974405,2744743165,2719225158,2706162472,2705695864,93.2,0.388078297
